	subject	object	local_mi
67	TWMET_00040	TWMET_00376	586296
68	TWMET_00041	TWMET_00090	4527040
69	TWMET_00041	TWMET_00045	200575
70	TWMET_00043	TWMET_00040	341775
71	TWMET_00043	TWMET_00062	101025
72	TWMET_00044	TWMET_00167	331925
73	TWMET_00044	TWMET_00176	282286
74	TWMET_00045	TWMET_00034	257172
75	TWMET_00045	TWMET_00037	239525
76	TWMET_00046	TWMET_00010	189261
77	TWMET_00046	TWMET_00225	151976
78	TWMET_00048	TWMET_00201	758410
79	TWMET_00048	TWMET_00264	388544
80	TWMET_00049	TWMET_01235	1126650
81	TWMET_00049	TWMET_00564	957364
82	TWMET_00050	TWMET_00128	396744
83	TWMET_00050	TWMET_00098	160479
84	TWMET_00054	TWMET_00585	1208744
85	TWMET_00054	TWMET_00100	205700
86	TWMET_00056	TWMET_00060	1321659
87	TWMET_00056	TWMET_00077	19836
88	TWMET_00057	TWMET_00183	9101200
89	TWMET_00057	TWMET_00081	478118
90	TWMET_00058	TWMET_00805	23749620
91	TWMET_00058	TWMET_00322	22743200
92	TWMET_00059	TWMET_00224	140270
93	TWMET_00059	TWMET_00014	106514
94	TWMET_00060	TWMET_00056	1321659
95	TWMET_00060	TWMET_00836	11715
96	TWMET_00061	TWMET_00020	1410210
97	TWMET_00061	TWMET_00012	332145
98	TWMET_00063	TWMET_00032	1137162
99	TWMET_00063	TWMET_00867	546204
100	TWMET_00064	TWMET_00040	808928
101	TWMET_00064	TWMET_00063	105700
102	TWMET_00066	TWMET_00233	109668
103	TWMET_00066	TWMET_00231	103362
104	TWMET_00068	TWMET_00167	296076
105	TWMET_00068	TWMET_01043	224082
106	TWMET_00069	TWMET_00225	6460664
107	TWMET_00069	TWMET_00383	317840
108	TWMET_00073	TWMET_00507	758242
109	TWMET_00073	TWMET_00001	232974
110	TWMET_00076	TWMET_00178	4702040
111	TWMET_00076	TWMET_00254	3054430
112	TWMET_00077	TWMET_00272	1190160
113	TWMET_00077	TWMET_00167	1100736
114	TWMET_00078	TWMET_00254	2094015
115	TWMET_00078	TWMET_00076	607680
116	TWMET_00079	TWMET_00178	3589495
117	TWMET_00079	TWMET_00076	2411871
118	TWMET_00080	TWMET_00051	1946800
119	TWMET_00080	TWMET_00065	192360
120	TWMET_00081	TWMET_00485	3733697
121	TWMET_00081	TWMET_00057	478118
122	TWMET_00083	TWMET_00034	3733248
123	TWMET_00083	TWMET_00037	1295177
124	TWMET_00084	TWMET_00015	235704
125	TWMET_00084	TWMET_00093	148565
126	TWMET_00085	TWMET_00045	143400
127	TWMET_00085	TWMET_00049	104004
128	TWMET_00086	TWMET_00015	670896
129	TWMET_00086	TWMET_00492	433758
130	TWMET_00087	TWMET_01030	1782522
131	TWMET_00087	TWMET_00004	819082
132	TWMET_00088	TWMET_00217	1541106
133	TWMET_00088	TWMET_01158	583616
134	TWMET_00090	TWMET_00041	4527040
135	TWMET_00090	TWMET_01235	231012
136	TWMET_00091	TWMET_00869	769201
137	TWMET_00091	TWMET_00027	209716
138	TWMET_00093	TWMET_00205	321180
139	TWMET_00093	TWMET_00027	239440
140	TWMET_00095	TWMET_00003	501956
141	TWMET_00095	TWMET_00011	295070
142	TWMET_00098	TWMET_00354	1136850
143	TWMET_00098	TWMET_00353	797850
144	TWMET_00099	TWMET_00012	178024
145	TWMET_00099	TWMET_00067	32699
146	TWMET_00100	TWMET_00564	297972
147	TWMET_00100	TWMET_00006	288724
148	TWMET_00104	TWMET_00034	1932736
149	TWMET_00104	TWMET_00228	586728
150	TWMET_00105	TWMET_00037	717530
151	TWMET_00105	TWMET_01043	194650
152	TWMET_00107	TWMET_00104	225925
153	TWMET_00107	TWMET_00034	174570
154	TWMET_00112	TWMET_00096	45838
155	TWMET_00112	TWMET_00101	37014
156	TWMET_00113	TWMET_01175	507984
157	TWMET_00113	TWMET_00032	156660
158	TWMET_00114	TWMET_00805	323703
159	TWMET_00114	TWMET_00058	321494
160	TWMET_00115	TWMET_00149	1434720
161	TWMET_00115	TWMET_00074	117740
162	TWMET_00116	TWMET_00057	182600
163	TWMET_00116	TWMET_00720	123105
164	TWMET_00121	TWMET_00799	376775
165	TWMET_00121	TWMET_00275	325624
166	TWMET_00124	TWMET_00064	61509
167	TWMET_00124	TWMET_00063	58152
168	TWMET_00126	TWMET_00497	7205250
169	TWMET_00126	TWMET_00004	1161540
170	TWMET_00127	TWMET_00013	118080
171	TWMET_00127	TWMET_00015	37830
172	TWMET_00128	TWMET_00935	1392232
173	TWMET_00128	TWMET_00001	417818
174	TWMET_00130	TWMET_00001	323240
175	TWMET_00130	TWMET_00023	35721
176	TWMET_00131	TWMET_00088	330986
177	TWMET_00131	TWMET_00931	128232
178	TWMET_00132	TWMET_00850	1101276
179	TWMET_00132	TWMET_00856	967824
180	TWMET_00134	TWMET_01200	473720
181	TWMET_00134	TWMET_00266	152199
182	TWMET_00140	TWMET_00441	134212
183	TWMET_00140	TWMET_00410	5797
184	TWMET_00141	TWMET_00577	3126091
185	TWMET_00141	TWMET_01000	693928
186	TWMET_00144	TWMET_00004	3126195
187	TWMET_00144	TWMET_00386	1402406
188	TWMET_00145	TWMET_00197	962345
189	TWMET_00145	TWMET_00071	573870
190	TWMET_00147	TWMET_00076	182435
191	TWMET_00147	TWMET_00178	73568
192	TWMET_00148	TWMET_01025	209718
193	TWMET_00148	TWMET_00032	25936
194	TWMET_00149	TWMET_00115	1434720
195	TWMET_00149	TWMET_00163	283011
196	TWMET_00151	TWMET_00047	163787
197	TWMET_00151	TWMET_00917	122416
198	TWMET_00152	TWMET_00163	1071669
199	TWMET_00152	TWMET_00120	144956
200	TWMET_00153	TWMET_00253	645955
201	TWMET_00153	TWMET_00074	264406
202	TWMET_00154	TWMET_00910	47277
203	TWMET_00154	TWMET_00268	24080
204	TWMET_00155	TWMET_01141	23436
205	TWMET_00155	TWMET_00099	20976
206	TWMET_00157	TWMET_00163	555534
207	TWMET_00157	TWMET_00269	441294
208	TWMET_00163	TWMET_00152	1071669
209	TWMET_00163	TWMET_00157	555534
210	TWMET_00164	TWMET_00146	1034180
211	TWMET_00164	TWMET_00168	449288
212	TWMET_00165	TWMET_00035	246664
213	TWMET_00165	TWMET_01004	226257
214	TWMET_00166	TWMET_00012	461161
215	TWMET_00166	TWMET_01184	308238
216	TWMET_00167	TWMET_00077	1100736
217	TWMET_00167	TWMET_00478	651992
218	TWMET_00170	TWMET_00012	424536
219	TWMET_00170	TWMET_00848	72092
220	TWMET_00171	TWMET_00246	246530
221	TWMET_00171	TWMET_00218	139908
222	TWMET_00173	TWMET_00772	274624
223	TWMET_00173	TWMET_00014	36864
224	TWMET_00174	TWMET_00001	154592
225	TWMET_00174	TWMET_00785	59272
226	TWMET_00176	TWMET_00044	282286
227	TWMET_00176	TWMET_00010	189960
228	TWMET_00178	TWMET_00076	4702040
229	TWMET_00178	TWMET_00079	3589495
230	TWMET_00179	TWMET_00897	660630
231	TWMET_00179	TWMET_00118	17500
232	TWMET_00181	TWMET_00004	629503
233	TWMET_00181	TWMET_00087	627298
234	TWMET_00182	TWMET_00129	229405
235	TWMET_00182	TWMET_00020	156768
236	TWMET_00183	TWMET_00057	9101200
237	TWMET_00183	TWMET_00081	329868
238	TWMET_00184	TWMET_00847	415108
239	TWMET_00184	TWMET_00088	410107
240	TWMET_00185	TWMET_00071	157850
241	TWMET_00185	TWMET_00197	146640
242	TWMET_00188	TWMET_00189	1277370
243	TWMET_00188	TWMET_00997	621565
244	TWMET_00189	TWMET_00188	1277370
245	TWMET_00189	TWMET_00219	193251
246	TWMET_00190	TWMET_00392	813834
247	TWMET_00190	TWMET_00555	580820
248	TWMET_00192	TWMET_00245	2427264
249	TWMET_00192	TWMET_00149	112640
250	TWMET_00193	TWMET_00240	366544
251	TWMET_00193	TWMET_00408	279617
252	TWMET_00194	TWMET_00467	496740
253	TWMET_00194	TWMET_00400	226000
254	TWMET_00195	TWMET_01208	963560
255	TWMET_00195	TWMET_00844	444640
256	TWMET_00201	TWMET_00264	823365
257	TWMET_00201	TWMET_00048	758410
258	TWMET_00202	TWMET_00467	176560
259	TWMET_00202	TWMET_01214	120744
260	TWMET_00206	TWMET_00009	2309520
261	TWMET_00206	TWMET_00209	811118
262	TWMET_00217	TWMET_00088	1541106
263	TWMET_00217	TWMET_01158	1162558
264	TWMET_00218	TWMET_00276	332052
265	TWMET_00218	TWMET_00128	140336
266	TWMET_00221	TWMET_00273	619191
267	TWMET_00221	TWMET_00508	365275
268	TWMET_00230	TWMET_00533	2287752
269	TWMET_00230	TWMET_00534	1306670
270	TWMET_00233	TWMET_00500	849758
271	TWMET_00233	TWMET_00550	450109
272	TWMET_00243	TWMET_00451	25001640
273	TWMET_00243	TWMET_00237	570724
274	TWMET_00245	TWMET_00192	2427264
275	TWMET_00245	TWMET_01015	2024375
276	TWMET_00253	TWMET_00153	645955
277	TWMET_00253	TWMET_00149	121623
278	TWMET_00254	TWMET_00076	3054430
279	TWMET_00254	TWMET_00178	2292331
280	TWMET_00264	TWMET_00201	823365
281	TWMET_00264	TWMET_00004	548336
282	TWMET_00265	TWMET_00126	716958
283	TWMET_00265	TWMET_00497	564729
284	TWMET_00269	TWMET_00120	460056
285	TWMET_00269	TWMET_00157	441294
286	TWMET_00272	TWMET_00077	1190160
287	TWMET_00272	TWMET_00167	530726
288	TWMET_00275	TWMET_00997	1287500
289	TWMET_00275	TWMET_00799	938808
290	TWMET_00322	TWMET_00058	22743200
291	TWMET_00322	TWMET_00805	21662898
292	TWMET_00344	TWMET_00316	248799
293	TWMET_00344	TWMET_00017	16040
294	TWMET_00368	TWMET_00004	209576
295	TWMET_00368	TWMET_00249	121030
296	TWMET_00382	TWMET_00078	280736
297	TWMET_00382	TWMET_00554	120681
298	TWMET_00386	TWMET_00231	3023042
299	TWMET_00386	TWMET_00144	1402406
300	TWMET_00408	TWMET_00435	680690
301	TWMET_00408	TWMET_00193	279617
302	TWMET_00411	TWMET_00001	468204
303	TWMET_00411	TWMET_00174	54910
304	TWMET_00424	TWMET_00104	177900
305	TWMET_00424	TWMET_00034	135923
306	TWMET_00441	TWMET_00410	299609
307	TWMET_00441	TWMET_00001	149744
308	TWMET_00447	TWMET_00010	146718
309	TWMET_00447	TWMET_00002	112374
310	TWMET_00451	TWMET_00243	25001640
311	TWMET_00451	TWMET_00237	570724
312	TWMET_00478	TWMET_00167	651992
313	TWMET_00478	TWMET_00077	531726
314	TWMET_00485	TWMET_00081	3733697
315	TWMET_00485	TWMET_00093	95304
316	TWMET_00497	TWMET_00126	7205250
317	TWMET_00497	TWMET_00181	601524
318	TWMET_00504	TWMET_00086	350975
319	TWMET_00504	TWMET_00492	164171
320	TWMET_00533	TWMET_00230	2287752
321	TWMET_00533	TWMET_00536	1456542
322	TWMET_00534	TWMET_00230	1306670
323	TWMET_00534	TWMET_00125	845121
324	TWMET_00536	TWMET_00533	1456542
325	TWMET_00536	TWMET_00230	959574
326	TWMET_00544	TWMET_00450	718497
327	TWMET_00544	TWMET_00228	184092
328	TWMET_00550	TWMET_00011	3116232
329	TWMET_00550	TWMET_00233	450109
330	TWMET_00553	TWMET_01100	760733
331	TWMET_00553	TWMET_00552	267624
332	TWMET_00555	TWMET_00392	684701
333	TWMET_00555	TWMET_00554	675390
334	TWMET_00564	TWMET_01235	3543690
335	TWMET_00564	TWMET_00049	957364
336	TWMET_00574	TWMET_00717	435328
337	TWMET_00574	TWMET_00012	366730
338	TWMET_00585	TWMET_00584	2172294
339	TWMET_00585	TWMET_00575	1645604
340	TWMET_00785	TWMET_00174	59272
341	TWMET_00785	TWMET_00001	28253
342	TWMET_00804	TWMET_00805	10672572
343	TWMET_00804	TWMET_00058	8786988
344	TWMET_00805	TWMET_00058	23749620
345	TWMET_00805	TWMET_00322	21662898
346	TWMET_00824	TWMET_00872	7840
347	TWMET_00824	TWMET_01151	6683
348	TWMET_00844	TWMET_00156	2000250
349	TWMET_00844	TWMET_00211	1462518
350	TWMET_00847	TWMET_00909	3234192
351	TWMET_00847	TWMET_00940	602577
352	TWMET_00848	TWMET_00754	167616
353	TWMET_00848	TWMET_00991	143472
354	TWMET_00868	TWMET_00063	206052
355	TWMET_00868	TWMET_00032	177248
356	TWMET_00870	TWMET_00024	1150325
357	TWMET_00870	TWMET_00121	222240
358	TWMET_00872	TWMET_00829	328095
359	TWMET_00872	TWMET_01151	106480
360	TWMET_00893	TWMET_00131	78323
361	TWMET_00893	TWMET_01175	22695
362	TWMET_00905	TWMET_00120	431361
363	TWMET_00905	TWMET_00157	72452
364	TWMET_00940	TWMET_00847	602577
365	TWMET_00940	TWMET_00217	375400
366	TWMET_00988	TWMET_00802	86000
367	TWMET_00988	TWMET_01175	26474
368	TWMET_01025	TWMET_00148	209718
369	TWMET_01025	TWMET_00032	2057
370	TWMET_01030	TWMET_00087	1782522
371	TWMET_01030	TWMET_00144	856908
372	TWMET_01031	TWMET_00465	61812
373	TWMET_01031	TWMET_00104	46440
374	TWMET_01051	TWMET_01173	38448
375	TWMET_01051	TWMET_00231	36480
376	TWMET_01151	TWMET_00184	384625
377	TWMET_01151	TWMET_00872	106480
378	TWMET_01152	TWMET_00191	2069356
379	TWMET_01152	TWMET_01153	304200
380	TWMET_01153	TWMET_00191	530127
381	TWMET_01153	TWMET_00844	420200
382	TWMET_01157	TWMET_00194	56160
383	TWMET_01157	TWMET_00555	54442
384	TWMET_01175	TWMET_00840	530200
385	TWMET_01175	TWMET_00113	507984
386	TWMET_01184	TWMET_00012	370071
387	TWMET_01184	TWMET_00166	308238
388	TWMET_01201	TWMET_00547	2242404
389	TWMET_01201	TWMET_00263	152945
390	TWMET_01235	TWMET_00564	3543690
391	TWMET_01235	TWMET_00049	1126650
392	TWMET_00001	TWMET_00002	337145
393	TWMET_00001	TWMET_00004	209538
394	TWMET_00001	TWMET_00006	5563
395	TWMET_00001	TWMET_00009	36696
396	TWMET_00001	TWMET_00011	573872
397	TWMET_00001	TWMET_00013	10524
398	TWMET_00001	TWMET_00015	283770
399	TWMET_00001	TWMET_00018	1934
400	TWMET_00001	TWMET_00020	8422
401	TWMET_00001	TWMET_00022	6906
402	TWMET_00001	TWMET_00024	51645
403	TWMET_00001	TWMET_00027	1934
404	TWMET_00001	TWMET_00030	1573
405	TWMET_00001	TWMET_00032	28508
406	TWMET_00001	TWMET_00034	23487
407	TWMET_00001	TWMET_00037	29013
408	TWMET_00001	TWMET_00040	12006
409	TWMET_00001	TWMET_00044	3038
410	TWMET_00001	TWMET_00047	2127
411	TWMET_00001	TWMET_00049	12453
412	TWMET_00001	TWMET_00056	5122
413	TWMET_00001	TWMET_00058	1455
414	TWMET_00001	TWMET_00061	6052
415	TWMET_00001	TWMET_00063	4148
416	TWMET_00001	TWMET_00065	6882
417	TWMET_00001	TWMET_00076	25435
418	TWMET_00001	TWMET_00078	19340
419	TWMET_00001	TWMET_00081	28090
420	TWMET_00001	TWMET_00086	197022
421	TWMET_00001	TWMET_00088	6130
422	TWMET_00001	TWMET_00093	4242
423	TWMET_00001	TWMET_00098	52521
424	TWMET_00001	TWMET_00100	4326
425	TWMET_00001	TWMET_00103	586
426	TWMET_00001	TWMET_00113	2992
427	TWMET_00001	TWMET_00118	2580
428	TWMET_00001	TWMET_00125	1101
429	TWMET_00001	TWMET_00128	417818
430	TWMET_00001	TWMET_00131	8073
431	TWMET_00001	TWMET_00146	478
432	TWMET_00001	TWMET_00164	488
433	TWMET_00001	TWMET_00167	4158
434	TWMET_00001	TWMET_00174	154592
435	TWMET_00001	TWMET_00178	12296
436	TWMET_00001	TWMET_00183	2492
437	TWMET_00001	TWMET_00185	510
438	TWMET_00001	TWMET_00189	671
439	TWMET_00001	TWMET_00192	340
440	TWMET_00001	TWMET_00194	22734
441	TWMET_00001	TWMET_00201	9672
442	TWMET_00001	TWMET_00209	363
443	TWMET_00001	TWMET_00214	1768
444	TWMET_00001	TWMET_00218	28996
445	TWMET_00001	TWMET_00228	210
446	TWMET_00001	TWMET_00231	6347
447	TWMET_00001	TWMET_00237	3038
448	TWMET_00001	TWMET_00243	4975
449	TWMET_00001	TWMET_00246	1620
450	TWMET_00001	TWMET_00263	414
451	TWMET_00001	TWMET_00266	1672
452	TWMET_00001	TWMET_00273	45
453	TWMET_00001	TWMET_00276	12312
454	TWMET_00001	TWMET_00322	1295
455	TWMET_00001	TWMET_00354	3260
456	TWMET_00001	TWMET_00383	484
457	TWMET_00001	TWMET_00392	4557
458	TWMET_00001	TWMET_00403	3990
459	TWMET_00001	TWMET_00435	564
460	TWMET_00001	TWMET_00450	159
461	TWMET_00001	TWMET_00465	138
462	TWMET_00001	TWMET_00478	78
463	TWMET_00001	TWMET_00492	8260
464	TWMET_00001	TWMET_00500	230
465	TWMET_00001	TWMET_00508	15
466	TWMET_00001	TWMET_00534	361
467	TWMET_00001	TWMET_00547	108
468	TWMET_00001	TWMET_00552	50
469	TWMET_00001	TWMET_00555	295
470	TWMET_00001	TWMET_00575	13
471	TWMET_00001	TWMET_00584	81
472	TWMET_00001	TWMET_00717	8
473	TWMET_00001	TWMET_00754	5
474	TWMET_00001	TWMET_00785	28253
475	TWMET_00001	TWMET_00802	786
476	TWMET_00001	TWMET_00819	667
477	TWMET_00001	TWMET_00844	506
478	TWMET_00001	TWMET_00848	330
479	TWMET_00001	TWMET_00856	336
480	TWMET_00001	TWMET_00869	76
481	TWMET_00001	TWMET_00872	1410
482	TWMET_00001	TWMET_00909	576
483	TWMET_00001	TWMET_00917	30567
484	TWMET_00001	TWMET_00935	8918
485	TWMET_00001	TWMET_00941	828
486	TWMET_00001	TWMET_00997	950
487	TWMET_00001	TWMET_01004	1503
488	TWMET_00001	TWMET_01025	121
489	TWMET_00001	TWMET_01043	212
490	TWMET_00001	TWMET_01141	109
491	TWMET_00001	TWMET_01153	1450
492	TWMET_00001	TWMET_01173	205
493	TWMET_00001	TWMET_01184	56
494	TWMET_00001	TWMET_01208	86
495	TWMET_00001	TWMET_01235	4892
496	TWMET_00002	TWMET_00003	1834844
497	TWMET_00002	TWMET_00005	5424
498	TWMET_00002	TWMET_00008	5148
499	TWMET_00002	TWMET_00010	238952
500	TWMET_00002	TWMET_00012	1642
501	TWMET_00002	TWMET_00014	1574
502	TWMET_00002	TWMET_00017	885381
503	TWMET_00002	TWMET_00019	7272
504	TWMET_00002	TWMET_00021	80514
505	TWMET_00002	TWMET_00023	223964
506	TWMET_00002	TWMET_00026	1738
507	TWMET_00002	TWMET_00028	7666
508	TWMET_00002	TWMET_00031	2083
509	TWMET_00002	TWMET_00033	2322
510	TWMET_00002	TWMET_00035	3853
511	TWMET_00002	TWMET_00039	10978
512	TWMET_00002	TWMET_00041	8998
513	TWMET_00002	TWMET_00045	5104
514	TWMET_00002	TWMET_00048	2242
515	TWMET_00002	TWMET_00051	2482
516	TWMET_00002	TWMET_00057	76776
517	TWMET_00002	TWMET_00060	1294
518	TWMET_00002	TWMET_00062	1626
519	TWMET_00002	TWMET_00077	3656
520	TWMET_00002	TWMET_00079	1513
521	TWMET_00002	TWMET_00087	104970
522	TWMET_00002	TWMET_00090	1563
523	TWMET_00002	TWMET_00101	486
524	TWMET_00002	TWMET_00104	35528
525	TWMET_00002	TWMET_00119	7530
526	TWMET_00002	TWMET_00121	16132
527	TWMET_00002	TWMET_00126	203520
528	TWMET_00002	TWMET_00129	2272
529	TWMET_00002	TWMET_00144	214352
530	TWMET_00002	TWMET_00148	2454
531	TWMET_00002	TWMET_00152	256
532	TWMET_00002	TWMET_00156	16700
533	TWMET_00002	TWMET_00163	361
534	TWMET_00002	TWMET_00166	234
535	TWMET_00002	TWMET_00168	771
536	TWMET_00002	TWMET_00176	3573
537	TWMET_00002	TWMET_00181	100867
538	TWMET_00002	TWMET_00184	19485
539	TWMET_00002	TWMET_00188	975
540	TWMET_00002	TWMET_00191	3981
541	TWMET_00002	TWMET_00193	4305
542	TWMET_00002	TWMET_00205	29926
543	TWMET_00002	TWMET_00211	3285
544	TWMET_00002	TWMET_00217	8320
545	TWMET_00002	TWMET_00225	22750
546	TWMET_00002	TWMET_00230	113203
547	TWMET_00002	TWMET_00233	104448
548	TWMET_00002	TWMET_00240	2996
549	TWMET_00002	TWMET_00245	274
550	TWMET_00002	TWMET_00249	35052
551	TWMET_00002	TWMET_00254	1878
552	TWMET_00002	TWMET_00264	2780
553	TWMET_00002	TWMET_00268	3561
554	TWMET_00002	TWMET_00272	573
555	TWMET_00002	TWMET_00275	6924
556	TWMET_00002	TWMET_00316	26
557	TWMET_00002	TWMET_00353	276
558	TWMET_00002	TWMET_00376	225
559	TWMET_00002	TWMET_00386	45460
560	TWMET_00002	TWMET_00400	402
561	TWMET_00002	TWMET_00408	21768
562	TWMET_00002	TWMET_00411	7716
563	TWMET_00002	TWMET_00441	15786
564	TWMET_00002	TWMET_00451	954
565	TWMET_00002	TWMET_00467	1530
566	TWMET_00002	TWMET_00485	2616
567	TWMET_00002	TWMET_00497	59640
568	TWMET_00002	TWMET_00507	269
569	TWMET_00002	TWMET_00533	106799
570	TWMET_00002	TWMET_00536	33561
571	TWMET_00002	TWMET_00550	270475
572	TWMET_00002	TWMET_00554	2359
573	TWMET_00002	TWMET_00564	1592
574	TWMET_00002	TWMET_00577	137
575	TWMET_00002	TWMET_00585	204
576	TWMET_00002	TWMET_00720	264
577	TWMET_00002	TWMET_00772	122
578	TWMET_00002	TWMET_00799	710
579	TWMET_00002	TWMET_00805	800
580	TWMET_00002	TWMET_00829	50
581	TWMET_00002	TWMET_00840	9
582	TWMET_00002	TWMET_00847	4192
583	TWMET_00002	TWMET_00850	2532
584	TWMET_00002	TWMET_00867	958
585	TWMET_00002	TWMET_00870	13474
586	TWMET_00002	TWMET_00897	248
587	TWMET_00002	TWMET_00910	7824
588	TWMET_00002	TWMET_00931	784
589	TWMET_00002	TWMET_00940	3340
590	TWMET_00002	TWMET_00991	169
591	TWMET_00002	TWMET_01000	30
592	TWMET_00002	TWMET_01030	48734
593	TWMET_00002	TWMET_01100	31
594	TWMET_00002	TWMET_01151	5604
595	TWMET_00002	TWMET_01158	2664
596	TWMET_00002	TWMET_01175	135
597	TWMET_00002	TWMET_01200	122
598	TWMET_00003	TWMET_00001	310842
599	TWMET_00003	TWMET_00004	189728
600	TWMET_00003	TWMET_00006	1378
601	TWMET_00003	TWMET_00009	7576
602	TWMET_00003	TWMET_00011	4386252
603	TWMET_00003	TWMET_00015	5366
604	TWMET_00003	TWMET_00018	1077
605	TWMET_00003	TWMET_00020	654
606	TWMET_00003	TWMET_00022	1032
607	TWMET_00003	TWMET_00024	18464
608	TWMET_00003	TWMET_00027	1157
609	TWMET_00003	TWMET_00030	3024
610	TWMET_00003	TWMET_00032	3790
611	TWMET_00003	TWMET_00034	19660
612	TWMET_00003	TWMET_00037	1227
613	TWMET_00003	TWMET_00040	1322
614	TWMET_00003	TWMET_00044	1117
615	TWMET_00003	TWMET_00047	804
616	TWMET_00003	TWMET_00049	807
617	TWMET_00003	TWMET_00056	6222
618	TWMET_00003	TWMET_00061	363
619	TWMET_00003	TWMET_00063	2180
620	TWMET_00003	TWMET_00076	502
621	TWMET_00003	TWMET_00078	1724
622	TWMET_00003	TWMET_00081	676
623	TWMET_00003	TWMET_00086	633
624	TWMET_00003	TWMET_00088	2434
625	TWMET_00003	TWMET_00093	4812
626	TWMET_00003	TWMET_00098	754
627	TWMET_00003	TWMET_00100	340
628	TWMET_00003	TWMET_00113	1632
629	TWMET_00003	TWMET_00118	276
630	TWMET_00003	TWMET_00125	100784
631	TWMET_00003	TWMET_00128	3960
632	TWMET_00003	TWMET_00131	372
633	TWMET_00003	TWMET_00146	385
634	TWMET_00003	TWMET_00164	278
635	TWMET_00003	TWMET_00167	21375
636	TWMET_00003	TWMET_00174	8145
637	TWMET_00003	TWMET_00178	8300
638	TWMET_00003	TWMET_00183	283
639	TWMET_00003	TWMET_00185	239
640	TWMET_00003	TWMET_00194	330
641	TWMET_00003	TWMET_00201	976
642	TWMET_00003	TWMET_00209	315
643	TWMET_00003	TWMET_00214	17802
644	TWMET_00003	TWMET_00218	129
645	TWMET_00003	TWMET_00228	16
646	TWMET_00003	TWMET_00231	18
647	TWMET_00003	TWMET_00237	124
648	TWMET_00003	TWMET_00243	846
649	TWMET_00003	TWMET_00246	45
650	TWMET_00003	TWMET_00263	536
651	TWMET_00003	TWMET_00273	88
652	TWMET_00003	TWMET_00276	21
653	TWMET_00003	TWMET_00354	53
654	TWMET_00003	TWMET_00392	45
655	TWMET_00003	TWMET_00403	83
656	TWMET_00003	TWMET_00435	7510
657	TWMET_00003	TWMET_00450	30
658	TWMET_00003	TWMET_00465	12
659	TWMET_00003	TWMET_00478	310
660	TWMET_00003	TWMET_00492	423
661	TWMET_00003	TWMET_00500	2015
662	TWMET_00003	TWMET_00508	75
663	TWMET_00003	TWMET_00534	97944
664	TWMET_00003	TWMET_00555	1484
